Name			Mineral	Vespene	GDPS	ADPS	GRange	ARange	Health	Plasma	Armor	Sight	Speed	Accelerat	AirUnit Size
Probe       	50		0		3.3     0       0.1     0		20      20		0       8       2.81	2.5			0       0.75
Zealot      	100		0		13.3    0       0.1     0		100     50		1       9       2.25	1000		0       0.75
Stalker     	125		50		6.9     6.9     6       6		80      80		1       10      2.95	1000		0       1.25
Sentry      	50		100		6       6       5       5		40      40		1       10      10		1000		0       1.25
Observer		25		75		0		0		0		0		40		20		0		11		1.88	2.13		1       1
Colossus    	300		200		18.2    0       6       0		200     150		1       10      2.25	1000		0       2
Immortal    	250		100		13.8    0       6       0		200     100		1       9       2.25	1000		0       1.5
WarpPrism		200		0		0		0		0		0		100		100		0		10		2.95	2.63		1		1.75
Phoenix     	150		100		0       9       5       5		120     60		0       10      4.25	3.25		1       1.5
VoidRay     	250		150		12      12      6       6		150     100		0       10      2.25	2.00		1       1.5
HighTemplar		50		150		0		0		0		0		40		40		0		10		1.88	1000		0		0.75	
DarkTemplar		125		125		26.6	0		0.1		0		40		80		1		8		2.81	1000		0		0.75
Archon			175		275		14.3	14.3	3		3		10		350		0		9		2.8125	1000		0		1.5
Carrier			350		250		26.7	26.7	8		8		300		150		2		12		1.88	1.06		1		2.5
Mothership		400		400		16.3	16.3	7		7		350		350		2		14		1.41	1.38		1       2.75
