Name		Mineral	Vespene	GDPS    ADPS	GRange  ARange	Health  Plasma	Armor   Sight   Speed	Accelerat	AirUnit Size
SCV		50	0	3.3	0	0.1		0		45		0		0		8		2.812	2.50		0       0.75
Marine		50	0	7	7	5		5		45		0		0		9		2.25	1000		0       0.75
Marauder	100	25	6.7	0	6		0		125		0		1		10		2.25	1000		0       1.125
Reaper		50	50	7.3	0	5		0		60		0		0		9		3.75	1000		0       0.75
Ghost		200	100	6.7	6.7	6		6		100		0		0		11		2.25	1000		0		0.75
Hellion		100	0	3.2	0	5		0		90		0		0		10		4.25	1000		0		1.25
SiegeTank	150	125	14.4	0	7		0		160		0		1		11		2.25	1000		0       1.75
Thor		300	200	46.9	8	7		10		400		0		1		11		1.875	1000		0		1.875
Viking		150	75	12	10	6		9		125		0		0		10		2.75	2.63		1       1.5
Medivac		100	100	0	0	0		0		150		0		1		11		2.5		2.25		1		1.5
Raven		100	200	0	0	0		0		140		0		1		11		2.25	2.00		1       1.25
Banshee		150	100	19.2	0	6		0		140		0		0		10		2.75	3.25		1       1.5
Battlecruiser	400	300	35.56	26.7	6		6		550		0		3		12		1.875	1.00		1       2.5
