Building			Minerals	Gas		Time	Supply		Requirements			Vanish_Req
Hatchery 			300 		0 		100 	2			0						Drone
Extractor 			25 			0 		30 		0			0						Drone					
SpawningPool 		200 		0 		65 		0			Hatchery/Lair/Hive		Drone
EvolutionChamber 	75 			0 		35 		0			Hatchery/Lair/Hive		Drone
SpineCrawler 		100 		0 		50 		0			SpawningPool			Drone
SporeCrawler 		75 			0 		30 		0			EvolutionChamber		Drone
RoachWarren 		150 		0 		55 		0			SpawningPool			Drone
BanelingNest 		100 		50 		60 		0			SpawningPool			Drone
Lair 				150 		100 	80 		0			SpawningPool			Hatchery
HydraliskDen 		100 		100 	40 		0			Lair/Hive				Drone
InfestationPit	 	100 		100 	50 		0			Lair/Hive				Drone
Spire 				200 		200 	100 	0			Lair/Hive				Drone
NydusNetwork 		150 		200 	50 		0			Lair/Hive				Drone
Hive 				200 		150 	100 	0			InfestationPit			Lair
UltraliskCavern 	150 		200 	65 		0			Hive					Drone
GreaterSpire 		100 		150 	100 	0			Hive					Spire
